tema_id,tema,termos_do_cluster,n_artigos,percentual,muito negativo,negativo,neutro,positivo,muito positivo,n/a,exemplos_titulos
tema-06,rua / cidade / tijuca / centro,rua; cidade; tijuca; centro; prefeitura; agentes; municipal; homem,191,22.4178,11,56,11,96,0,17,"Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro | Vias Expressas do Rio ganharão seu “Segurança Presente” | Jacarepaguá e Maracanã podem ter Segurança Presente | Prefeitura fará ações de ordenamento urbano no Centro | Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender"
tema-05,nova / mulher / homem / preso,nova; mulher; homem; preso; agenda poder; pinterest nova; pinterest; nova nova,98,11.5023,6,30,2,60,0,0,"Casal é preso após assaltar motorista de aplicativo no Centro do Rio | Polícia investiga se secretário de Governo era alvo de quadrilha que invadiu prédio no Flamengo | Homem invade igreja com foice, assusta fiéis e é preso em Campo Grande | Carlos Minc denuncia PMs por oração em serviço no Largo do Machado | Homem é preso no Aterro do Flamengo após escalar poste para roubar cabos de energia; vídeo"
tema-12,governo / estado / vagas / agentes,governo; estado; vagas; agentes; governo estado; civil; castro; projeto,93,10.9155,6,14,8,60,0,5,"Tijuca Presente começa em 3 de Janeiro | Programa Segurança Presente cresce custeado por comerciantes | ‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes | Segurança Presente chega a novas áreas a partir de agosto | Segurança Presente diminui número de PMs em unidades para expandir áreas"
tema-02,base / nova / iguacu / nova iguacu,base; nova; iguacu; nova iguacu; governador; barra; castro; inauguracao,89,10.446,1,1,1,85,1,0,Segurança Presente será expandido para 5 bairros do Rio | Inaugurada base do Segurança Presente em Nova Iguaçu - Prefeitura de Nova Iguaçu | Segurança Presente começa em Bangu nesta sexta-feira | Botafogo ganha Segurança Presente | Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu
tema-08,politica / alerj / castro / niteroi,politica; alerj; castro; niteroi; tse; chama; jairinho agressoes; agressoes namoradas,86,10.0939,14,32,3,32,0,5,"Argentino foragido é capturado em Copacabana graças a sistema de câmeras | Taxistas piratas, tremei: hoje tem mega operação no Galeão | Empregada doméstica é presa em flagrante por dopar e roubar idosa em Copacabana | Morte de porteiro provoca guerra política em Niterói | Major da PM descumpre estatuto e lei ao fazer postagens de apoio a pré-candidato"
tema-07,centro / niteroi / reducao / roubos,centro; niteroi; reducao; roubos; ano; regiao; indices; criminalidade,60,7.0423,4,9,0,42,5,0,"O que é a operação Centro Presente | Cresce a procura por imóveis na Zona Sul e na Tijuca | Rio registra centésimo policial baleado este ano | Operação Niterói Presente será ampliada para a Região Oceânica | Às vésperas de completar 3 anos, Niterói Presente ultrapassa uma centena de prisões em flagrante - Prefeitura Municipal de Niterói"
tema-03,paes / castro / eduardo / eduardo paes,paes; castro; eduardo; eduardo paes; prefeito; governador; claudio; claudio castro,57,6.6901,4,27,4,12,0,10,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020 | Paes elabora Plano dos 100 Dias para o próximo governo à frente da prefeitura | Em quem votar para vereador do Rio de Janeiro em 2020? | Capitão Nelson é eleito prefeito de São Gonçalo | Paes quer restaurar o campus da Gama Filho e outros projetos até abril
tema-10,show / copacabana / shakira / gaga,show; copacabana; shakira; gaga; lady; lady gaga; agentes; eleicoes,52,6.1033,0,2,2,44,0,4,Segurança Presente atuará na noite e na madrugada em Copacabana e no Leme | Agentes de segurança são treinados pelo TRE-RJ para trabalho durante as eleições | Quinze mil policiais vão trabalhar na segurança das eleições no RJ | Governo do RJ amplia horário do Segurança Presente em Copacabana e no Leme | Segurança no estado ganha reforço de 475 policiais militares
tema-09,couto / ricardo couto / ricardo / governo,couto; ricardo couto; ricardo; governo; estado; educacao; governador; nova,47,5.5164,3,11,9,18,1,5,Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas
tema-04,carnaval / folioes / reconhecimento facial / estado,carnaval; folioes; reconhecimento facial; estado; facial; durante carnaval; sambodromo; blocos,31,3.6385,1,1,0,28,0,1,Segurança Presente vai reforçar policiamento no Carnaval | Pulseiras de identificação para crianças serão distribuídas no carnaval | Miguel Pereira foi a cidade mais segura do Carnaval do Rio | Governo do RJ garante segurança e tranquilidade nos ensaios técnicos na Marquês de Sapucaí | Mais de 270 pessoas foram detidas pela PM durante os primeiros dias de carnaval
