evento_id,evento,evento_exemplo,tipo_evento,local,n_artigos,n_classificados,score_medio,media_sentimento,muito_negativo,negativo,neutro,positivo,muito_positivo,n/a,n_positivas,n_negativas,share_positivo,share_negativo,proporcao_positivas,proporcao_negativas,ambiguidade_baixa,ambiguidade_media,ambiguidade_alta,proporcao_ambiguidade_alta,peso_positivo,peso_negativo,titulos_exemplo
transferencia-do-seguranca-presente-para-a-policia-militar,transferencia-do-seguranca-presente-para-a-policia-militar,Transferência do Segurança Presente para a Polícia Militar,gestao/administracao,Rio de Janeiro,5,4,0.5,0.5,0,0,2,2,0,1,2,0,0.4,0.0,0.4,0.0,5,0,0,0.0,2,0,"Segurança Presente está nas mãos de quem deveria estar, afirma secretário nomeado por Castro | ‘O Segurança Presente está na mão de quem deveria estar’: Victor Santos, nomeado por Castro, elogia decisão de Ricardo Couto; vídeo | Governo do Estado transfere Segurança Presente para a Polícia Militar - Governo do Estado do Rio de Janeiro | Governo do RJ determina transferência de Segurança Presente e Barricada Zero para a Polícia Militar | Governo do Rio transfere Segurança Presente para Secretaria de Polícia Militar - Extra online"
criacao-comite-permanente-seguranca-escolar-rio-2023,criacao-comite-permanente-seguranca-escolar-rio-2023,Criação do Comitê Permanente de Segurança Escolar no Rio de Janeiro,gestao/administracao,Rio de Janeiro,4,4,1.0,1.0,0,0,0,4,0,0,4,0,1.0,0.0,1.0,0.0,4,0,0,0.0,4,0,Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas | Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas
show-shakira-copacabana-2026,show-shakira-copacabana-2026,Show da Shakira em Copacabana,evento publico/cultural,"Copacabana, Rio de Janeiro",4,1,1.0,1.0,0,0,0,1,0,3,1,0,0.25,0.0,0.25,0.0,3,0,1,0.25,1,0,Show de Shakira terá 8 mil agentes e esquema reforçado | Hoje é dia de Shakira! Tire todas as dúvidas sobre o show de logo mais | Shakira Diz Que Anitta E Uma Rainha E Brasileira Revela Que Foi Convidada Para Show Em Copacabana.Ghtml | Shakira Em Copacabana Veja Os Cuidados Para Nao Perder Documentos.Ghtml
abertura-inscricoes-vestibular-cederj-2026,abertura-inscricoes-vestibular-cederj-2026,Abertura de inscrições para o Vestibular Cederj 2026,outro,Rio de Janeiro,3,1,1.0,1.0,0,0,0,1,0,2,1,0,0.3333,0.0,0.3333,0.0,3,0,0,0.0,1,0,Vestibular Cederj 2026 oferece 16 cursos em cidades do Sul do Rio e Costa Verde | Vestibular Cederj abre inscrições para o 1º semestre de 2026 com 7.355 vagas em 16 cursos de graduação semipresencial | Vestibular Cederj abre inscrições para o 1º semestre de 2026 com 7.355 vagas em 16 cursos de graduação semipresencial
inauguracao-base-seguranca-presente-iraja-2025,inauguracao-base-seguranca-presente-iraja-2025,Inauguração da base do Segurança Presente em Irajá e entrega de novas viaturas,inauguracao/expansao,"Irajá, Rio de Janeiro",3,3,1.0,1.0,0,0,0,3,0,0,3,0,1.0,0.0,1.0,0.0,3,0,0,0.0,3,0,Segurança Presente ganha nova base em Irajá e frota extra vai reforçar o patrulhamento | Governo do RJ inaugura base do Segurança Presente em Irajá e reforça policiamento com novas viaturas | RJ inaugura base do Segurança Presente em Irajá e entrega novas viaturas nas zonas Norte e Oeste
lancamento-base-seguranca-presente-buzios-2025,lancamento-base-seguranca-presente-buzios-2025,Lançamento da pedra fundamental da base do programa Segurança Presente em Búzios,inauguracao/expansao,Búzios,3,3,1.0,1.0,0,0,0,3,0,0,3,0,1.0,0.0,1.0,0.0,3,0,0,0.0,3,0,"Governo do Estado, em parceria com a Prefeitura de Búzios, lança pedra fundamental do projeto Segurança Presente neste sábado, no centro da cidade - Prefeitura Municipal de Armação dos Búzios | Uma foto, um gesto: Bacellar circula em Búzios ao lado de Flávio Bolsonaro | Programa Segurança Presente lança pedra fundamental neste sábado em frente à sede da Prefeitura de Búzios - Prefeitura Municipal de Armação dos Búzios"
transferencia-seguranca-presente-para-policia-militar-2026,transferencia-seguranca-presente-para-policia-militar-2026,Transferência do programa Segurança Presente para a Polícia Militar,gestao/administracao,Rio de Janeiro,3,3,0.0,0.0,0,1,1,1,0,0,1,1,0.3333,0.3333,0.3333,0.3333,3,0,0,0.0,1,1,"Governador em exercício, Ricardo Couto, transfere Segurança Presente e Barricada Zero para a Polícia Militar | Paes chama transferência do Segurança Presente para a PM de ‘golaço’; vídeo | Segurança Presente: expansão do programa ocorria por indicação de políticos e não acompanhava a mancha criminal"
inauguracao-base-seguranca-presente-iguaba-grande-2026,inauguracao-base-seguranca-presente-iguaba-grande-2026,Inauguração de base do Segurança Presente em Iguaba Grande,inauguracao/expansao,Iguaba Grande,3,3,-0.3333,-0.3333,0,2,0,1,0,0,1,2,0.3333,0.6667,0.3333,0.6667,3,0,0,0.0,1,2,Iguaba Grande ganha base do Segurança Presente; programa chega à 63ª unidade no RJ | Castro nega recomposição salarial a servidores e diz que não vai ceder: ‘Não vou quebrar o estado por causa disso’ | Castro nega recomposição salarial a servidores e diz que não vai ceder: ‘Não vou quebrar o estado por causa disso’
desaparecimento-jose-carlos-simonin-copacabana-2026,desaparecimento-jose-carlos-simonin-copacabana-2026,Desaparecimento de José Carlos Simonin em Copacabana,violencia/crime,"Copacabana, Rio de Janeiro",3,3,-1.3333,-1.3333,1,2,0,0,0,0,0,3,0.0,1.0,0.0,1.0,3,0,0,0.0,0,4,"Pai de acusado de estupro coletivo em Copacabana, José Carlos Simonin está desaparecido, diz família | Pai de acusado de estupro coletivo em Copacabana, José Carlos Simonin está desaparecido, diz família | 'Meu marido sumiu': Ex-subsecretário e pai de acusado em estupro coletivo em Copacabana é dado como desaparecido pela família"
abertura-concurso-seguranca-presente-rj-2025,abertura-concurso-seguranca-presente-rj-2025,Abertura de concurso para 2.212 vagas no Segurança Presente RJ,gestao/administracao,Rio de Janeiro,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Concurso Segurança Presente RJ: cargo, salários, requisitos e como participar - Direção Concursos | Concurso Segurança Presente RJ: sai edital com 2.212 vagas - Folha Dirigida"
ampliacao-horario-seguranca-presente-copacabana-leme-2021,ampliacao-horario-seguranca-presente-copacabana-leme-2021,Ampliação do horário do Segurança Presente em Copacabana e Leme,gestao/administracao,"Copacabana e Leme, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Governo do RJ amplia horário do Segurança Presente em Copacabana e no Leme | Copacabana é a região administrativa do Rio que melhor atende necessidades humanas básicas
ampliacao-policiamento-tecnologia-carnaval-2026,ampliacao-policiamento-tecnologia-carnaval-2026,Ampliação do policiamento e tecnologia para o Carnaval 2026 no RJ,inauguracao/expansao,Rio de Janeiro,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Governo do RJ amplia policiamento e tecnologia para proteger turistas no Carnaval | Governo do RJ amplia policiamento e tecnologia para proteger turistas no Carnaval
apreensao-armas-drogas-largo-do-machado-2025,apreensao-armas-drogas-largo-do-machado-2025,Apreensão de armas e drogas no Largo do Machado,operacao policial,"Largo do Machado, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Governo do Estado apreende armas brancas e drogas no Largo do Machado | Governo do Estado apreende armas brancas e drogas no Largo do Machado
entrega-plano-prioridades-itaipava-2026,entrega-plano-prioridades-itaipava-2026,Entrega de plano com prioridades para Itaipava,gestao/administracao,"Itaipava, Petrópolis",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Unita entrega a Eduardo Paes plano com prioridades para Itaipava | Unita entrega a Eduardo Paes plano com prioridades para Itaipava
inauguracao-base-seguranca-presente-bacaxa-2026,inauguracao-base-seguranca-presente-bacaxa-2026,"Inauguração da base do Segurança Presente em Bacaxá, Saquarema",inauguracao/expansao,"Bacaxá, Saquarema",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Saquarema recebe governador do estado e reforça ações de Educação e Segurança no município - Prefeitura de Saquarema RJ | Saquarema receberá faculdade com graduação pioneira em Inteligência Artificial
inauguracao-base-seguranca-presente-buzios-2026,inauguracao-base-seguranca-presente-buzios-2026,Inauguração da base do Programa Segurança Presente em Búzios,inauguracao/expansao,Búzios,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Castro lança Segurança Presente em Búzios | Búzios inaugura base do Programa Segurança Presente com presença do governador Cláudio Castro - Prefeitura Municipal de Armação dos Búzios
inauguracao-base-seguranca-presente-campo-grande-2024,inauguracao-base-seguranca-presente-campo-grande-2024,Inauguração da base do Segurança Presente em Campo Grande,inauguracao/expansao,"Campo Grande, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Campo Grande ganha base do Segurança Presente e reforça a segurança na Zona Oeste | Campo Grande ganha base do Segurança Presente após iniciativa de Márcio Gualberto
inauguracao-base-seguranca-presente-galeao-2024,inauguracao-base-seguranca-presente-galeao-2024,Inauguração da base do Segurança Presente no Aeroporto Internacional do Galeão,inauguracao/expansao,"Aeroporto Internacional do Galeão, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,RJ inaugura base do programa Segurança Presente no Galeão | Base do Segurança Presente é inaugurada no entorno do Aeroporto Internacional do Galeão
inauguracao-base-seguranca-presente-miguel-couto-2022,inauguracao-base-seguranca-presente-miguel-couto-2022,Inauguração da base do Segurança Presente em Miguel Couto,inauguracao/expansao,"Miguel Couto, Nova Iguaçu",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Miguel Couto ganha base do Segurança Presente a partir deste domingo (13) - Prefeitura de Nova Iguaçu | Miguel Couto ganha base do Segurança Presente a partir deste domingo (13) - Prefeitura de Nova Iguaçu
inauguracao-base-seguranca-presente-pirai-2025,inauguracao-base-seguranca-presente-pirai-2025,Inauguração da Base do Segurança Presente em Piraí,inauguracao/expansao,"Piraí, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Piraí recebe pacote de obras com nova unidade dos Bombeiros, Segurança Presente e Data Center de IA | Em Piraí, Castro apresenta novas unidades do Corpo de Bombeiros e do Segurança Presente"
inauguracao-base-seguranca-presente-santa-cruz-da-serra-2026,inauguracao-base-seguranca-presente-santa-cruz-da-serra-2026,"Inauguração da base do Segurança Presente em Santa Cruz da Serra, Duque de Caxias",inauguracao/expansao,"Santa Cruz da Serra, Duque de Caxias",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"‘Nosso senador’: Washington Reis declara apoio a Castro em inaugurações do estado em Caxias | Governo inaugura base do Segurança Presente em Santa Cruz da Serra, em Duque de Caxias"
inauguracao-bases-seguranca-presente-barra-olimpica-freguesia-2026,inauguracao-bases-seguranca-presente-barra-olimpica-freguesia-2026,Inauguração de bases do Segurança Presente na Barra Olímpica e na Freguesia,inauguracao/expansao,"Barra Olímpica e Freguesia, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Segurança Presente inaugura bases na Barra Olímpica e na Freguesia nesta terça-feira | Castro inaugura bases do Segurança Presente na Barra Olímpica e na Freguesia, na Zona Sudoeste"
instalacao-base-seguranca-presente-rio-das-ostras-2025,instalacao-base-seguranca-presente-rio-das-ostras-2025,Instalação da base do Segurança Presente em Rio das Ostras,inauguracao/expansao,Rio das Ostras,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Município vai receber base do Segurança Presente - PMRO - Rio das Ostras | Rio das Ostras vai receber base do Segurança Presente
operacao-seguranca-show-lady-gaga-copacabana-2025,operacao-seguranca-show-lady-gaga-copacabana-2025,Operação de segurança da PM para o show de Lady Gaga em Copacabana,operacao policial,Copacabana,2,1,1.0,1.0,0,0,0,1,0,1,1,0,0.5,0.0,0.5,0.0,2,0,0,0.0,1,0,Lady Gaga: veja o que não pode levar para o show em Copacabana | PM faz revista em 18 acessos para show de Lady Gaga e orienta sobre itens proibidos
operacao-tolerancia-zero-sao-goncalo-2025,operacao-tolerancia-zero-sao-goncalo-2025,Operação Tolerância Zero contra motos barulhentas em São Gonçalo,operacao policial,São Gonçalo,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Operação em São Gonçalo aborda quase 1.800 motos barulhentas e irregulares em agosto | Em 2025, Prefeitura de S. Gonçalo abordou mais de 14 mil motos em operação contra barulho"
reducao-crimes-duque-caxias-seguranca-presente-2026,reducao-crimes-duque-caxias-seguranca-presente-2026,Redução de crimes em Duque de Caxias após 15 dias de operação do Segurança Presente,resultado/indicador,Duque de Caxias,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Em apenas 15 dias de operação, Segurança Presente de Santa Cruz da Serra apresenta redução de crimes em Duque de Caxias | Em apenas 15 dias de operação, Segurança Presente de Santa Cruz da Serra apresenta redução de crimes em Duque de Caxias"
