evento_id,evento,evento_exemplo,tipo_evento,local,n_artigos,n_classificados,score_medio,media_sentimento,muito_negativo,negativo,neutro,positivo,muito_positivo,n/a,n_positivas,n_negativas,n_muito_positivas,n_muito_negativas,share_positivo,share_negativo,share_muito_positivo,share_muito_negativo,peso_positivo,peso_negativo,titulos_exemplo
auditorias-irregularidades-seguranca-presente-2026,auditorias-irregularidades-seguranca-presente-2026,Auditorias revelam irregularidades no Segurança Presente,denuncia/irregularidade,Rio de Janeiro,3,3,-2.0,-2.0,3,0,0,0,0,0,0,3,0,3,0.0,1.0,0.0,1.0,0,6,"Segurança presente: de escala fantasma a fraudes no cumprimento de metas, os primeiros resultados das auditorias | Auditorias apontam escalas fantasmas e metas fraudadas no Segurança Presente"
100-policiais-baleados-grande-rio-2025,100-policiais-baleados-grande-rio-2025,100 policiais baleados na Grande Rio em 2025,violencia/crime,Grande Rio,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,"Grande Rio tem 100 policiais baleados em 2025, diz Fogo Cruzado"
abordagem-truculenta-policiais-seguranca-presente-2023,abordagem-truculenta-policiais-seguranca-presente-2023,Abordagem truculenta de policial militar a mulher com crianças no Centro do Rio,denuncia/irregularidade,Centro do Rio de Janeiro,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,RJ: policial militar é flagrado quase enforcando mulher que vendia balas na rua com duas crianças
agente-bope-baleado-seguranca-presente-duque-caxias-2025,agente-bope-baleado-seguranca-presente-duque-caxias-2025,Agente do Bope baleado por colega do Segurança Presente em Duque de Caxias,violencia/crime,Duque de Caxias,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,Agente do Bope baleado por colega de farda está em estado grave
anulacao-nomeacao-servidor-corrupto-pm-2026,anulacao-nomeacao-servidor-corrupto-pm-2026,Anulação da nomeação de servidor acusado de corrupção na PM,gestao/administracao,Rio de Janeiro,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,Casa Civil do Estado recua e anula nomeação de servidor acusado de desviar verba do Fundo de Saúde da PM
apreensao-planilha-cargos-governo-rj-2026,apreensao-planilha-cargos-governo-rj-2026,Apreensão de planilha sobre divisão de cargos no governo do RJ,denuncia/irregularidade,Rio de Janeiro,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,PF cita planilha ligada a Rodrigo Bacellar que detalha divisão de cargos no governo do RJ
assalto-turistas-pedra-do-arpoador-2022,assalto-turistas-pedra-do-arpoador-2022,Assalto a turistas na Pedra do Arpoador,violencia/crime,"Pedra do Arpoador, Rio de Janeiro",1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,Roberto Motta: Terra da Impunidade
assassinato-gabriel-mongenot-copacabana-2023,assassinato-gabriel-mongenot-copacabana-2023,Assassinato de Gabriel Mongenot em Copacabana,violencia/crime,"Copacabana, Rio de Janeiro",1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,Um dos bandidos que participou do assalto e assassinato de Gabriel Mongenot passou por 56 abordagens polciais
auditoria-uso-irregular-cpf-governo-rio-2025,auditoria-uso-irregular-cpf-governo-rio-2025,Investigação sobre uso irregular de CPFs pelo governo do Rio,denuncia/irregularidade,Rio de Janeiro,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,Auditoria do Ministério da Justiça identifica uso irregular de quase 70 milhões de CPFs pelo governo do Rio
condenacao-ex-agente-seguranca-presente-tentativa-feminicidio-niteroi-2023,condenacao-ex-agente-seguranca-presente-tentativa-feminicidio-niteroi-2023,Condenação de ex-agente do Segurança Presente por tentativa de feminicídio em Niterói,denuncia/irregularidade,Niterói,1,1,-2.0,-2.0,1,0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,0,2,Ex-agente do Segurança Presente é condenado por tentativa de feminicídio em Niterói
