evento_id,evento,evento_exemplo,tipo_evento,local,n_artigos,n_classificados,score_medio,media_sentimento,muito_negativo,negativo,neutro,positivo,muito_positivo,n/a,n_positivas,n_negativas,n_muito_positivas,n_muito_negativas,share_positivo,share_negativo,share_muito_positivo,share_muito_negativo,peso_positivo,peso_negativo,titulos_exemplo
comemoracao-um-ano-seguranca-presente-nilopolis-2024,comemoracao-um-ano-seguranca-presente-nilopolis-2024,Comemoração de um ano do Segurança Presente em Nilópolis,resultado/indicador,Nilópolis,1,1,2.0,2.0,0,0,0,0,1,0,1,0,1,0,1.0,0.0,1.0,0.0,2,0,Segurança Presente completa um ano em Nilópolis com excelentes resultados - Prefeitura Municipal de Nilópolis
inauguracao-novas-bases-seguranca-presente-rio-2024,inauguracao-novas-bases-seguranca-presente-rio-2024,Inauguração de novas bases do programa Segurança Presente no Rio de Janeiro,inauguracao/expansao,Rio de Janeiro,1,1,2.0,2.0,0,0,0,0,1,0,1,0,1,0,1.0,0.0,1.0,0.0,2,0,Novas bases do programa Segurança Presente ampliam policiamento e reforçam segurança no Rio de Janeiro
operacao-seguranca-presente-amazonas-2026,operacao-seguranca-presente-amazonas-2026,Operação Segurança Presente no Amazonas,operacao policial,Amazonas,1,1,2.0,2.0,0,0,0,0,1,0,1,0,1,0,1.0,0.0,1.0,0.0,2,0,Operação Segurança Presente impulsiona redução dos índices de criminalidade e amplia sensação de segurança no Amazonas - SSP-AM
reduzacao-ocorrencias-show-shakira-copacabana-2026,reduzacao-ocorrencias-show-shakira-copacabana-2026,Redução de ocorrências durante o show de Shakira em Copacabana,evento publico/cultural,"Copacabana, Rio de Janeiro",1,1,2.0,2.0,0,0,0,0,1,0,1,0,1,0,1.0,0.0,1.0,0.0,2,0,Forças de Segurança reduzem ocorrências em 52% no “Todo mundo no Rio”
resultados-operacao-seguranca-presente-volta-redonda-2025,resultados-operacao-seguranca-presente-volta-redonda-2025,Resultados da Operação Segurança Presente em Volta Redonda,resultado/indicador,"Volta Redonda, RJ",1,1,2.0,2.0,0,0,0,0,1,0,1,0,1,0,1.0,0.0,1.0,0.0,2,0,Segurança Presente de Volta Redonda zera crimes em áreas de atuação e alcança o 1º lugar no estado - Prefeitura de Volta Redonda
comite-permanente-seguranca-escolar-rio-2023,comite-permanente-seguranca-escolar-rio-2023,Criação do Comitê Permanente de Segurança Escolar no Rio de Janeiro,gestao/administracao,Rio de Janeiro,4,4,1.0,1.0,0,0,0,4,0,0,4,0,0,0,1.0,0.0,0.0,0.0,4,0,Governador Cláudio Castro anuncia comitê permanente para garantir segurança nas escolas
inauguracao-base-seguranca-presente-rio-das-ostras-2025,inauguracao-base-seguranca-presente-rio-das-ostras-2025,Instalação da base do Segurança Presente em Rio das Ostras,inauguracao/expansao,Rio das Ostras,4,4,1.0,1.0,0,0,0,4,0,0,4,0,0,0,1.0,0.0,0.0,0.0,4,0,Município vai receber base do Segurança Presente - PMRO - Rio das Ostras | Rio das Ostras vai receber base do Segurança Presente | Rio das Ostras inaugura Base de Segurança e áreas revitalizadas - PMRO - Rio das Ostras | Base do programa ‘Segurança Presente’ é inaugurada em Rio das Ostras
inauguracao-base-seguranca-presente-buzios-2025,inauguracao-base-seguranca-presente-buzios-2025,Instalação da nova base da Operação Segurança Presente em Búzios,inauguracao/expansao,Búzios,3,3,1.0,1.0,0,0,0,3,0,0,3,0,0,0,1.0,0.0,0.0,0.0,3,0,"Uma foto, um gesto: Bacellar circula em Búzios ao lado de Flávio Bolsonaro | Programa Segurança Presente lança pedra fundamental neste sábado em frente à sede da Prefeitura de Búzios - Prefeitura Municipal de Armação dos Búzios | Prefeito Alexandre Martins recebe representantes da Operação Segurança Presente para alinhar logística de instalação da nova base em Búzios - Prefeitura Municipal de Armação dos Búzios"
inauguracao-base-seguranca-presente-buzios-2026,inauguracao-base-seguranca-presente-buzios-2026,Inauguração da base do Programa Segurança Presente em Búzios,inauguracao/expansao,"Búzios, Rio de Janeiro",3,3,1.0,1.0,0,0,0,3,0,0,3,0,0,0,1.0,0.0,0.0,0.0,3,0,Castro lança Segurança Presente em Búzios | Búzios ganha primeira base do Segurança Presente e vira a 62ª unidade do programa no estado | Búzios inaugura base do Programa Segurança Presente com presença do governador Cláudio Castro - Prefeitura Municipal de Armação dos Búzios
inauguracao-base-seguranca-presente-iraja-2025,inauguracao-base-seguranca-presente-iraja-2025,Inauguração da base do Segurança Presente em Irajá e entrega de novas viaturas,inauguracao/expansao,"Irajá, Rio de Janeiro",3,3,1.0,1.0,0,0,0,3,0,0,3,0,0,0,1.0,0.0,0.0,0.0,3,0,Segurança Presente ganha nova base em Irajá e frota extra vai reforçar o patrulhamento | Governo do RJ inaugura base do Segurança Presente em Irajá e reforça policiamento com novas viaturas | RJ inaugura base do Segurança Presente em Irajá e entrega novas viaturas nas zonas Norte e Oeste
entrega-plano-prioridades-itaipava-2026,entrega-plano-prioridades-itaipava-2026,Entrega de plano com prioridades para Itaipava,gestao/administracao,"Itaipava, Petrópolis",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Unita entrega a Eduardo Paes plano com prioridades para Itaipava
inauguracao-base-seguranca-presente-bacaxa-2026,inauguracao-base-seguranca-presente-bacaxa-2026,"Inauguração da base do Segurança Presente em Bacaxá, Saquarema",inauguracao/expansao,"Bacaxá, Saquarema",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Saquarema recebe governador do estado e reforça ações de Educação e Segurança no município - Prefeitura de Saquarema RJ | Saquarema receberá faculdade com graduação pioneira em Inteligência Artificial
inauguracao-base-seguranca-presente-campo-grande-2024,inauguracao-base-seguranca-presente-campo-grande-2024,Inauguração da base do Segurança Presente em Campo Grande,inauguracao/expansao,"Campo Grande, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Campo Grande ganha base do Segurança Presente e reforça a segurança na Zona Oeste | Campo Grande ganha base do Segurança Presente após iniciativa de Márcio Gualberto
inauguracao-base-seguranca-presente-galeao-2024,inauguracao-base-seguranca-presente-galeao-2024,Inauguração da base do Segurança Presente no Galeão,inauguracao/expansao,"Aeroporto Internacional do Galeão, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,RJ inaugura base do programa Segurança Presente no Galeão | Base do Segurança Presente é inaugurada no entorno do Aeroporto Internacional do Galeão
inauguracao-base-seguranca-presente-miguel-couto-2022,inauguracao-base-seguranca-presente-miguel-couto-2022,Inauguração da base do Segurança Presente em Miguel Couto,inauguracao/expansao,"Miguel Couto, Nova Iguaçu",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Miguel Couto ganha base do Segurança Presente a partir deste domingo (13) - Prefeitura de Nova Iguaçu
inauguracao-base-seguranca-presente-nova-iguacu-2019,inauguracao-base-seguranca-presente-nova-iguacu-2019,Inauguração da base do Segurança Presente em Nova Iguaçu,inauguracao/expansao,Nova Iguaçu,2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Inaugurada base do Segurança Presente em Nova Iguaçu - Prefeitura de Nova Iguaçu | Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu
inauguracao-base-seguranca-presente-pirai-2025,inauguracao-base-seguranca-presente-pirai-2025,Inauguração da Base do Segurança Presente em Piraí,inauguracao/expansao,Piraí,2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,"Piraí recebe pacote de obras com nova unidade dos Bombeiros, Segurança Presente e Data Center de IA | Em Piraí, Castro apresenta novas unidades do Corpo de Bombeiros e do Segurança Presente"
inauguracao-base-seguranca-presente-santa-cruz-da-serra-2026,inauguracao-base-seguranca-presente-santa-cruz-da-serra-2026,"Inauguração da base do Segurança Presente em Santa Cruz da Serra, Duque de Caxias",inauguracao/expansao,"Santa Cruz da Serra, Duque de Caxias",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,"‘Nosso senador’: Washington Reis declara apoio a Castro em inaugurações do estado em Caxias | Governo inaugura base do Segurança Presente em Santa Cruz da Serra, em Duque de Caxias"
inauguracao-bases-seguranca-presente-barra-jacarepagua-2026,inauguracao-bases-seguranca-presente-barra-jacarepagua-2026,Inauguração de duas novas bases do Segurança Presente na Barra e em Jacarepaguá,inauguracao/expansao,"Barra Olímpica e Freguesia, Jacarepaguá",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Segurança Presente inaugura nesta terça (03) duas novas bases na Barra e em Jacarepaguá | Segurança Presente inaugura novas bases na Barra e em Jacarepaguá
inauguracao-bases-seguranca-presente-barra-olimpica-freguesia-2026,inauguracao-bases-seguranca-presente-barra-olimpica-freguesia-2026,Inauguração de bases do Segurança Presente na Barra Olímpica e na Freguesia,inauguracao/expansao,"Barra Olímpica e Freguesia, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,"Segurança Presente inaugura bases na Barra Olímpica e na Freguesia nesta terça-feira | Castro inaugura bases do Segurança Presente na Barra Olímpica e na Freguesia, na Zona Sudoeste"
operacao-tolerancia-zero-sao-goncalo-2025,operacao-tolerancia-zero-sao-goncalo-2025,Operação Tolerância Zero contra motos barulhentas em São Gonçalo,operacao policial,São Gonçalo,2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,"Operação em São Gonçalo aborda quase 1.800 motos barulhentas e irregulares em agosto | Em 2025, Prefeitura de S. Gonçalo abordou mais de 14 mil motos em operação contra barulho"
prisao-homem-furto-imagem-jesus-botafogo-2025,prisao-homem-furto-imagem-jesus-botafogo-2025,Prisão de homem por furto de imagem de Jesus Cristo em Botafogo,prisao/apreensao,"Botafogo, Rio de Janeiro",2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,Segurança Presente prende homem e recupera imagem de Jesus Cristo em bronze em Botafogo | Homem é preso por furtar imagem de Jesus Cristo de cemitério em Botafogo
recuperacao-lamborghini-xama-2024,recuperacao-lamborghini-xama-2024,Recuperação da Lamborghini do cantor Xamã após roubo,operacao policial,Quinta da Boa Vista,2,2,1.0,1.0,0,0,0,2,0,0,2,0,0,0,1.0,0.0,0.0,0.0,2,0,"Como Xamã conseguiu recuperar Lamborghini de 4 milhões após roubo | Casa Firjan, em Botafogo, pode se tornar patrimônio nacional nesta terça-feira"
